B5SNI2_OTOGA/89-120	B5SNI2_OTOGA/89-120
B5SNI2_OTOGA/89-120	B1MTD3_CALMO/90-120
B5SNI2_OTOGA/89-120	B0KW84_CALJA/90-120
B5SNI2_OTOGA/89-120	Q5JVE8_HUMAN/90-120
B5SNI2_OTOGA/89-120	FA10_HUMAN/90-120
B5SNI2_OTOGA/89-120	B7ZBK1_HUMAN/90-120
B5SNI2_OTOGA/89-120	Q5JVE7_HUMAN/90-120
B5SNI2_OTOGA/89-120	D2I5N8_AILME/67-97
B5SNI2_OTOGA/89-120	A9X172_PAPAN/90-120
B5SNI2_OTOGA/89-120	A0N065_MACMU/90-120
B5SNI2_OTOGA/89-120	Q9GMD9_ORNAN/90-120
B5SNI2_OTOGA/89-120	C3ZGU7_BRAFL/194-224
B5SNI2_OTOGA/89-120	Q4SVF9_TETNG/68-98
Q6PAG2_XENLA/89-119	Q6PAG2_XENLA/89-119
Q6PAG2_XENLA/89-119	A7SB01_NEMVE/398-428
Q6PAG2_XENLA/89-119	B4NQ59_DROWI/196-226
Q6PAG2_XENLA/89-119	Q5FW21_XENTR/89-119
Q6PAG2_XENLA/89-119	B3RZV3_TRIAD/617-646
Q6PAG2_XENLA/89-119	Q25253_LUCCU/624-654
PROS_HUMAN/121-153	PROS_HUMAN/121-153
PROS_HUMAN/121-153	Q9NSD0_HUMAN/95-127
PROS_HUMAN/121-153	D3DN28_HUMAN/121-153
PROS_HUMAN/121-153	Q16519_HUMAN/95-127
PROS_HUMAN/121-153	PROS_MACMU/94-126
PROS_HUMAN/121-153	Q0GA52_BUBBU/1-28
PROS_HUMAN/121-153	PROS_BOVIN/121-153
PROS_HUMAN/121-153	Q29094_PIG/94-126
A2RUV0_XENTR/567-598	A2RUV0_XENTR/567-598
A2RUV0_XENTR/567-598	Q9DED0_CHICK/125-154
A2RUV0_XENTR/567-598	NOTC1_RAT/570-599
A2RUV0_XENTR/567-598	NOTC1_MOUSE/570-599
A2RUV0_XENTR/567-598	Q7TQ51_MOUSE/565-594
A2RUV0_XENTR/567-598	Q7TQ50_MOUSE/570-599
A2RUV0_XENTR/567-598	Q8K428_MOUSE/570-599
A2RUV0_XENTR/567-598	Q7TQ52_MOUSE/555-584
A2RUV0_XENTR/567-598	NOTC1_HUMAN/570-599
A2RUV0_XENTR/567-598	O13149_TAKRU/528-556
A2RUV0_XENTR/567-598	Q4SU28_TETNG/573-601
A2RUV0_XENTR/567-598	A0PGH6_DANRE/590-619
A2RUV0_XENTR/567-598	A5WUN6_DANRE/521-550
A2RUV0_XENTR/567-598	NOTCH_XENLA/567-598
A2RUV0_XENTR/567-598	B5U9W5_ONCMY/570-599
A2RUV0_XENTR/567-598	Q4SRM9_TETNG/524-553
A2RUV0_XENTR/567-598	NOTC1_DANRE/568-597
Q804X5_CHICK/89-118	Q804X5_CHICK/89-118
O42374_DANRE/65-97	O42374_DANRE/65-97
C3ZDI4_BRAFL/118-147	C3ZDI4_BRAFL/118-147
C3Z4C8_BRAFL/1-31	C3Z4C8_BRAFL/1-31
A8PZ08_BRUMA/2068-2097	A8PZ08_BRUMA/2068-2097
C3Y5A1_BRAFL/2-31	C3Y5A1_BRAFL/2-31
O61240_HALRO/383-413	O61240_HALRO/383-413
Q7PSV8_ANOGA/208-238	Q7PSV8_ANOGA/208-238
Q7PSV8_ANOGA/208-238	B4L8A9_DROMO/560-590
Q7PSV8_ANOGA/208-238	B4JJG8_DROGR/491-521
Q7PSV8_ANOGA/208-238	Q25253_LUCCU/473-503
Q7PSV8_ANOGA/208-238	B3NTZ8_DROER/469-499
Q7PSV8_ANOGA/208-238	B4IA25_DROSE/469-499
Q7PSV8_ANOGA/208-238	B5DM97_DROPS/483-513
Q7PSV8_ANOGA/208-238	B4GYL6_DROPE/465-495
Q7PSV8_ANOGA/208-238	Q16TK9_AEDAE/487-517
Q7PSV8_ANOGA/208-238	B4MCT2_DROVI/464-494
Q7PSV8_ANOGA/208-238	B3N1W3_DROAN/490-520
Q7PSV8_ANOGA/208-238	B4Q0L7_DROYA/466-496
Q7PSV8_ANOGA/208-238	NOTCH_DROME/492-522
Q7PSV8_ANOGA/208-238	C5NS64_BOMMO/479-509
Q7PSV8_ANOGA/208-238	Q8I499_CUPSA/392-420
Q7PSV8_ANOGA/208-238	Q8I6X6_BOOMI/464-494
D3ZV27_RAT/2126-2156	D3ZV27_RAT/2126-2156
D3ZV27_RAT/2126-2156	Q75ZI2_DANRE/39-69
D3ZV27_RAT/2126-2156	Q4T6A4_TETNG/874-904
D3ZV27_RAT/2126-2156	A2CF11_DANRE/118-148
D3ZV27_RAT/2126-2156	A4JYN2_DANRE/1031-1061
Q6XL67_BOVIN/2117-2147	Q6XL67_BOVIN/2117-2147
Q6XL67_BOVIN/2117-2147	Q4SPK6_TETNG/324-354
Q6XL67_BOVIN/2117-2147	A7SB01_NEMVE/1005-1035
B7ZS06_XENLA/923-954	B7ZS06_XENLA/923-954
B7ZS06_XENLA/923-954	B7ZS04_XENLA/923-954
B7ZS06_XENLA/923-954	Q90WM2_XENLA/923-954
B7ZS06_XENLA/923-954	Q2L697_CIOIN/464-494
B7ZS06_XENLA/923-954	Q800E4_DANRE/411-441
B7ZS06_XENLA/923-954	Q4RHF2_TETNG/368-398
PGCB_HUMAN/650-680	PGCB_HUMAN/650-680
PGCB_HUMAN/650-680	Q59F90_HUMAN/589-619
PGCB_HUMAN/650-680	D3DVC2_HUMAN/650-680
PGCB_HUMAN/650-680	A8K144_HUMAN/650-680
PGCB_HUMAN/650-680	PGCB_BOVIN/651-681
PGCB_HUMAN/650-680	D2HW78_AILME/621-651
PGCB_HUMAN/650-680	Q9NT67_HUMAN/69-99
PGCB_HUMAN/650-680	PGCB_MOUSE/626-656
PGCB_HUMAN/650-680	Q3TQE9_MOUSE/71-101
PGCB_HUMAN/650-680	Q80WT7_MOUSE/626-656
PGCB_HUMAN/650-680	PGCB_RAT/626-656
PGCB_HUMAN/650-680	Q90YD2_XENLA/336-366
PGCB_HUMAN/650-680	Q5U4U1_XENLA/336-366
B0CMQ4_9ANNE/334-364	B0CMQ4_9ANNE/334-364
Q804X1_TAKRU/88-118	Q804X1_TAKRU/88-118
